ID ,Titre ,Sous-titre ,Édition ,Type ,Prix indicatif ,Joueur(s) ,Durée ,Age(s) ,Univers ,Gamme(s) ,Catégorie(s) ,Thème(s) ,Mécanisme(s)
36010 ,Nidavellir , ,2020 ,basegame ,35 ,2 à 5 ,30 à 60 ,10+ , ,Nidavellir ,Jeu de Cartes ,Argent Médiéval Vikings ,Choix simultanés Combinaison Enchères
50947 ,Nidavellir - Art Box , ,2022 ,accessoire ,17.5 ,2 à 5 ,30 à 60 ,10+ , ,Nidavellir ,Jeu de Cartes ,Médiéval Vikings ,Choix simultanés Combinaison Draft Enchères
42393 ,Nidavellir - Thingvellir , ,2020 ,extension ,15 ,2 à 5 ,30 à 60 ,10+ , ,Nidavellir ,Jeu de Cartes ,Médiéval Vikings ,Choix simultanés Combinaison Draft Enchères
28579 ,One Deck Dungeon - Forêt des Ombres , ,2019 ,standalone ,22.5 ,1 à 2 ,30 à 60 ,14+ , ,One Deck Dungeon ,Jeu de Cartes ,Aventure Fantastique Médiéval ,Coopération Gestion de main Jet De Dés
43329 ,P'achakuna , ,2021 ,basegame ,37 ,Duo ,30 à 60 ,8+ , , ,Jeu de plateau ,Amérique Latine Animaux Labyrinthe Lamas ,Duo Livraison Plateau modulaire
30966 ,Pas de bras... Pas de chocolat ! ,Gold Edition ,2016 ,basegame ,15 ,3 à 6 ,30 ,9+ , ,Pas de bras... pas de chocolat ! ,Jeu de Cartes ,Confiserie Cuisine ,Choix simultanés Échange & Troc
20059 ,Patchwork , ,2015 ,basegame ,18 ,Duo ,30 ,8+ , ,Jeu pour 2 Patchwork ,Jeu de tuiles ,Couture Vêtements ,Collection Duo Équilibre Placement Placement de tuiles Polyominos
50154 ,Pâtée Impériale ,Coffret Édition Limitée ,2021 ,basegame ,37.9 ,2 à 4 ,30 ,12+ , ,Pâtée Impériale ,Jeu de Cartes ,Animaux Chiens ,Combinaison Équipes Mémorisation
20072 ,Photosynthesis , ,2017 ,basegame ,37 ,2 à 4 ,60 ,10+ , ,Photosynthesis ,Jeu de plateau ,Arbres Nature Végétaux ,Combinaison Placement
359 ,Pillards de la mer du Nord , ,2016 ,basegame ,45 ,2 à 4 ,70 ,12+ ,Saga de la mer du nord ,Pillards de la mer du Nord ,Jeu de plateau ,Maritime Médiéval Vikings ,Collection Combinaison Placement d'ouvriers
34113 ,Pirates Under Fire , ,2019 ,basegame ,22.5 ,Duo ,25 à 35 ,10+ , ,Pirates Under Fire ,Jeu de plateau ,Maritime Pirates ,Conquête Gestion de main Placement de tuiles Plateau modulaire
